sample	assembly	condition
GSM2837480	Bl71nemr	15h
GSM2837481	Bl71nemr	15h
GSM2837482	Bl71nemr	36h
GSM2837483	Bl71nemr	60h
GSM2837484	Bl71nemr	60h
GSM2837485	Bl71nemr	8h
GSM2837486	Bl71nemr	8h
GSM2837487	Bl71nemr	hepatic
GSM2837488	Bl71nemr	hepatic
GSM2837489	danRer11	48h
GSM2837490	danRer11	48h
GSM2837491	danRer11	80%epiboly
GSM2837492	danRer11	80%epiboly
GSM2837493	danRer11	8somites
GSM2837494	danRer11	8somites
GSM2837495	danRer11	dome
GSM2837496	danRer11	dome
GSM2837497	danRer11	shield
GSM2837498	danRer11	shield
GSM2837499	oryLat2	st11
GSM2837500	oryLat2	st11
GSM2837501	oryLat2	st13
GSM2837502	oryLat2	st13
GSM2837503	oryLat2	st19
GSM2837504	oryLat2	st19
GSM2837505	oryLat2	st25
GSM2837506	oryLat2	st25
GSM2837507	oryLat2	st32
GSM2837508	oryLat2	st32
GSM2546188	Spur_5.0	28h
GSM2546189	Spur_5.0	28h
GSM2546190	Spur_5.0	28h
GSM2520641	Spur_5.0	18h
GSM2520642	Spur_5.0	18h
GSM2520643	Spur_5.0	18h
GSM2520644	Spur_5.0	24h
GSM2520645	Spur_5.0	24h
GSM2520646	Spur_5.0	24h
GSM2520647	Spur_5.0	30h
GSM2520648	Spur_5.0	30h
GSM2520649	Spur_5.0	30h
GSM2520650	Spur_5.0	39h
GSM2520651	Spur_5.0	39h
GSM2520652	Spur_5.0	39h
GSM2520653	Spur_5.0	50h
GSM2520654	Spur_5.0	50h
GSM2520655	Spur_5.0	50h
GSM2520656	Spur_5.0	60h
GSM2520657	Spur_5.0	60h
GSM2520658	Spur_5.0	60h
GSM2520659	Spur_5.0	70h
GSM2520660	Spur_5.0	70h
GSM2520661	Spur_5.0	70h
GSM2385309	ce11	early_embryo
GSM2385310	ce11	larval_stage_3
GSM2385311	ce11	young_adult
GSM2385312	ce11	early_embryo
GSM2385313	ce11	larval_stage_3
GSM2385314	ce11	young_adult
GSM2385315	ce11	early_embryo
GSM2385316	ce11	larval_stage_3
GSM2385317	ce11	young_adult
GSM2385318	ce11	control
GSM3141720	ce11	emb
GSM3141721	ce11	emb
GSM3141722	ce11	L1
GSM3141723	ce11	L1
GSM3141724	ce11	L2
GSM3141725	ce11	L2
GSM3141726	ce11	L3
GSM3141727	ce11	L3
GSM3141728	ce11	L4
GSM3141729	ce11	L4
GSM3141730	ce11	YA
GSM3141731	ce11	YA
GSM2811115	dm6	ATACSlice2_01_20a
GSM2811116	dm6	ATACSlice2_02_20p
GSM2811117	dm6	ATACSlice2_7_10whole
GSM2811118	dm6	ATACSlice03_01_20Ant
GSM2811119	dm6	ATACSlice03_02_20Post
GSM2811120	dm6	ATACSlice03_03_1plus2
GSM2811121	dm6	ATACSlice03_04_10whole
GSM2285339	dm6	2_4hrs
GSM2285340	dm6	2_4hrs
GSM2219678	dm6	NC11_03
GSM2219679	dm6	NC11_03
GSM2219680	dm6	NC11_03
GSM2219681	dm6	NC11_06
GSM2219682	dm6	NC11_06
GSM2219683	dm6	NC11_06
GSM2219684	dm6	NC11_09
GSM2219685	dm6	NC11_09
GSM2219686	dm6	NC11_09
GSM2219687	dm6	NC12_03
GSM2219688	dm6	NC12_03
GSM2219689	dm6	NC12_03
GSM2219690	dm6	NC12_06
GSM2219691	dm6	NC12_06
GSM2219692	dm6	NC12_06
GSM2219693	dm6	NC12_09
GSM2219694	dm6	NC12_09
GSM2219695	dm6	NC12_09
GSM2219696	dm6	NC12_12
GSM2219697	dm6	NC12_12
GSM2219698	dm6	NC12_12
GSM2219699	dm6	NC12_12
GSM2219700	dm6	NC13_03
GSM2219701	dm6	NC13_03
GSM2219702	dm6	NC13_03
GSM2219703	dm6	NC13_06
GSM2219704	dm6	NC13_06
GSM2219705	dm6	NC13_06
GSM2219706	dm6	NC13_09
GSM2219707	dm6	NC13_09
GSM2219708	dm6	NC13_09
GSM2219709	dm6	NC13_12
GSM2219710	dm6	NC13_12
GSM2219711	dm6	NC13_12
GSM2219712	dm6	NC13_15
GSM2219713	dm6	NC13_15
