plate_well,primer_combi
nextera_A1,m701m502
nextera_B1,m701m503
nextera_C1,m701m505
nextera_D1,m701m506
nextera_E1,m701m507
nextera_F1,m701m508
nextera_G1,m701m510
nextera_H1,m701m511
nextera_I1,m701m513
nextera_J1,m701m515
nextera_K1,m701m516
nextera_L1,m701m517
nextera_M1,m701m518
nextera_N1,m701m520
nextera_O1,m701m521
nextera_P1,m701m522
nextera_A2,m702m502
nextera_B2,m702m503
nextera_C2,m702m505
nextera_D2,m702m506
nextera_E2,m702m507
nextera_F2,m702m508
nextera_G2,m702m510
nextera_H2,m702m511
nextera_I2,m702m513
nextera_J2,m702m515
nextera_K2,m702m516
nextera_L2,m702m517
nextera_M2,m702m518
nextera_N2,m702m520
nextera_O2,m702m521
nextera_P2,m702m522
nextera_A3,m703m502
nextera_B3,m703m503
nextera_C3,m703m505
nextera_D3,m703m506
nextera_E3,m703m507
nextera_F3,m703m508
nextera_G3,m703m510
nextera_H3,m703m511
nextera_I3,m703m513
nextera_J3,m703m515
nextera_K3,m703m516
nextera_L3,m703m517
nextera_M3,m703m518
nextera_N3,m703m520
nextera_O3,m703m521
nextera_P3,m703m522
nextera_A4,m704m502
nextera_B4,m704m503
nextera_C4,m704m505
nextera_D4,m704m506
nextera_E4,m704m507
nextera_F4,m704m508
nextera_G4,m704m510
nextera_H4,m704m511
nextera_I4,m704m513
nextera_J4,m704m515
nextera_K4,m704m516
nextera_L4,m704m517
nextera_M4,m704m518
nextera_N4,m704m520
nextera_O4,m704m521
nextera_P4,m704m522
nextera_A5,m705m502
nextera_B5,m705m503
nextera_C5,m705m505
nextera_D5,m705m506
nextera_E5,m705m507
nextera_F5,m705m508
nextera_G5,m705m510
nextera_H5,m705m511
nextera_I5,m705m513
nextera_J5,m705m515
nextera_K5,m705m516
nextera_L5,m705m517
nextera_M5,m705m518
nextera_N5,m705m520
nextera_O5,m705m521
nextera_P5,m705m522
nextera_A6,m706m502
nextera_B6,m706m503
nextera_C6,m706m505
nextera_D6,m706m506
nextera_E6,m706m507
nextera_F6,m706m508
nextera_G6,m706m510
nextera_H6,m706m511
nextera_I6,m706m513
nextera_J6,m706m515
nextera_K6,m706m516
nextera_L6,m706m517
nextera_M6,m706m518
nextera_N6,m706m520
nextera_O6,m706m521
nextera_P6,m706m522
nextera_A7,m707m502
nextera_B7,m707m503
nextera_C7,m707m505
nextera_D7,m707m506
nextera_E7,m707m507
nextera_F7,m707m508
nextera_G7,m707m510
nextera_H7,m707m511
nextera_I7,m707m513
nextera_J7,m707m515
nextera_K7,m707m516
nextera_L7,m707m517
